ID,Cohort,Age,Acert,Year,Capture,Exclude,Treatment,Mass,Leg,Teeth,Repro,Parturition,PYsex,PYid,SurvLPY,SurvWN,PYLastObs,PYFound,Dead,HRDead,CaptDay,AgeC,CohortStart,CohortDay,Cond,PCond,PMass,mGain,Eff,PEff,DaysObs,xMed,indVeg7,indDens7,indWin7,indVeg21,indDens21,indWin21,mLeg,mMass,mMGain,mCond,nFem,nka,nSA,nPrime,PropPrime,Ratio,PRatio
1064,NA,NA,0,2019,NA,0,0,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,2018-08-01,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,526.8585858585859,26.0855,0.2431818181818182,-0.25464313554660745,115,76,39,25,0.32894736842105265,0.3391304347826087,0.2222222222222222
1064,NA,NA,0,2020,NA,0,NA,NA,NA,NA,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2019-08-01,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,529.2368421052631,26.63157894736842,0.7916666666666666,-0.1076177945333582,108,73,33,39,0.5342465753424658,0.3055555555555556,0.3391304347826087
1064,NA,NA,0,2021,NA,0,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,2020-08-01,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,527.4727272727273,26.436363636363637,0.6214285714285714,-0.11304735936777774,104,75,28,39,0.52,0.2692307692307692,0.3055555555555556
1064,NA,NA,0,2022,2022-08-25,0,0,30.25,536,2,1,2021-11-27,2,1312,1,2,NA,NA,NA,NA,237,NA,2021-08-01,119,1.1414653700022146,NA,NA,NA,2,2,NA,NA,179.93446555677502,2.564283606557377,35,273.5114549889879,2.2491813602015114,81,527.6341463414634,26.993827160493826,1.249074074074074,0.11155473367358151,98,75,51,41,0.5466666666666666,0.5204081632653061,0.2692307692307692
1064,NA,NA,0,2023,NA,0,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,2022-08-01,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,523.2471910112359,26.03370786516854,0.9941860465116279,-0.11745200079661877,109,86,30,51,0.5930232558139535,0.27522935779816515,0.5204081632653061
1064,NA,NA,0,2024,NA,0,NA,NA,NA,NA,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2023-08-01,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,515.5121951219512,25.682926829268293,1.4038461538461537,0.10466102027792984,107,91,0,64,0.7032967032967034,0,0.27522935779816515
1067,NA,NA,0,2018,2018-08-14,0,0,30,554,1,1,NA,NA,NA,0,0,NA,NA,NA,NA,226,NA,2017-08-01,NA,0.2176408713852969,NA,NA,NA,1,NA,42,38261,NA,NA,NA,NA,NA,NA,531.8,26.651234567901234,0.3769230769230769,-0.2334322330272324,108,67,24,41,0.6119402985074627,0.2222222222222222,0.17557251908396945
1067,NA,NA,0,2019,2019-08-31,0,0,31,559,1,1,NA,NA,NA,0,0,NA,NA,NA,NA,243,NA,2018-08-01,NA,0.38564420599390137,0.2176408713852969,30,1,1,1,49,38245,NA,NA,NA,NA,NA,NA,526.8585858585859,26.0855,0.2431818181818182,-0.25464313554660745,115,76,39,25,0.32894736842105265,0.3391304347826087,0.2222222222222222
1067,NA,NA,0,2020,NA,0,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,2019-08-01,NA,NA,-2.9976536561215377,22.5,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,529.2368421052631,26.63157894736842,0.7916666666666666,-0.1076177945333582,108,73,33,39,0.5342465753424658,0.3055555555555556,0.3391304347826087
1067,NA,NA,0,2021,2021-08-31,0,0,22.5,549,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,243,NA,2020-08-01,NA,-2.9976536561215377,0.38564420599390137,31,-8.5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,527.4727272727273,26.436363636363637,0.6214285714285714,-0.11304735936777774,104,75,28,39,0.52,0.2692307692307692,0.3055555555555556
